id,estimulo,tiempo
-M2pBlII2ocMygphwNlH,Inteligencia artificial,1584661225999
-M2pNaeMcY0Po4PuPQBR,Inteligencia artificial,1584659316512
-M2prFg4RZTAVNvtqBQa,Inteligencia artificial,1584672631413
-M2pubE2ecDc0cn9cfTU,Inteligencia artificial,1584673526421
-M2pxDve7XtGts-7hv1K,Ciencia de datos,1584674026001
-M2qFJ6T6V28WD32XcsB,Inteligencia artificial,1584679319729
-M2sF500LfduXuQ9IwZj,Big data,1584712705846
-M2t2bFQucCzlQDiqtjE,Conocimiento,1584726169661
-M2tmR-CW5a6i0gnwQ3D,Conocimiento,1584738549749
-M2uUDxoOXAOC5Nadm5Q,Big data,1584750282913
-M2ulnBkfb-NdKeEABbo,Inteligencia artificial,1584753839664
-M2unhBUHv83MkqDKjBo,Inteligencia artificial,1584755668009
-M2v0ec4SiiPOGUqFGUb,Big data,1584759197194
-M2v7LiYVkXlGKejusBn,Ciencia de datos,1584761082512
-M2xF57dopHK9BpRx5Hh,Big data,1584796700818
-M2xGoFFBmmgTKpYvfhY,Big data,1584796822983
-M2xPtAsXnj6573wthIF,Big data,1584799524646
-M2xg2mPde6HRW2gWYrA,Inteligencia artificial,1584803857397
-M2xjjMpSsLTMt2tXGDt,Inteligencia artificial,1584804947810
-M2xtkaLTAGxORvpcqnr,Big data,1584802129081
-M2xuNL8n-yA2Al5IRKB,Inteligencia artificial,1584807749235
-M2y1E-PFq9RRVnKmekK,Ciencia de datos,1584809356934
-M2y5cHBFijHTMaCvyF6,Inteligencia artificial,1584810404810
-M2yAbCja-NoP1Q9Mq22,Big data,1584812294037
-M2yHEk4O2PrIpJ7RFKp,Big data,1584813395256
-M2zO90WdpFEVPalRjSM,Big data,1584832612652
-M2zTbUMqEycnjuOnRdU,Big data,1584833597344
-M2zuMtoN3yX4d6pW4zZ,Inteligencia artificial,1584841273202
-M3-BaDuKvXift-fP_2Z,Inteligencia artificial,1584846009743
-M3-EyU4jcQEgYNAOe3s,Big data,1584846999079
-M3-OpTILQrT22YVG017,Inteligencia artificial,1584849538527
-M3-QXl0-gKlc0UmpyNn,Big data,1584850006907
-M3-TXGLNv4QAqOmgcxH,Ciencia de datos,1584850752643
-M3-wCHatIqU2xkbBA15,Inteligencia artificial,1584858457568
-M31vMlVJylLVAX042od,Inteligencia artificial,1584891595835
-M320eVXp1WHTCnvreua,Conocimiento,1584893360679
-M327IC9FEA1hloPx769,Inteligencia artificial,1584895168517
-M327XCoCl8iEc4RI2wn,Inteligencia artificial,1584895176166
-M32POeX9RW1rFTkIb6d,Big data,1584899952315
-M32VykWfiNM5m0P3U9V,Big data,1584901613641
-M332vBoWfVGSMA-QvLi,Inteligencia artificial,1584910791146
-M33fCilOKv74QaAq5qO,Ciencia de datos,1584921072371
-M33i_ThEOTL3z-8DLKG,Inteligencia artificial,1584921975221
-M3427nZjtQyFG-JqjAn,Inteligencia artificial,1584927406305
-M3446M4bsV6BsIXd7Nf,Inteligencia artificial,1584924883673
-M3SNRpAxiy-4pTlRfxi,Big data,1585335810756
-M3lt2Bhf7uv-k52J35p,Big data,1585679783239
-M3ms92KMG433cWx73Wd,Inteligencia artificial,1585696237544
-M3qDjjyu2YlrWFiSXZF,Ciencia de datos,1585752639272
-M3sxPk0nUoYrZGkm-ja,Big data,1585798291161
-M3t-fbu_yAwK4fXjsKU,Conocimiento,1585799169325
-M3t4Jqup2nQDOcpkC8l,Inteligencia artificial,1585800201591
-M3vqw3t1QI36UPz-j_o,Ciencia de datos,1585847007571
-M3vrEkg5TLL18lIpjhU,Ciencia de datos,1585847063256
-M3vrm1-PnnPcRZt85pD,Big data,1585847280425
-M3vrtaCfmnZHt109At7,Big data,1585847361816
-M3vs7oqT4KboKP9xjC5,Big data,1585847026542
-M3vsOalFuMRlJTv3okE,Ciencia de datos,1585847403750
-M3vufbKu1--Lc2bgBC-,Inteligencia artificial,1585847660568
-M3w2JpiZIw8kpUsskzv,Big data,1585850229107
-M3wEfnQGCY9Ms58mNAx,Inteligencia artificial,1585853479814
-M3wGsVZGTr6H_MIHABL,Big data,1585853837980
-M3wHrXTcq319J5ULr4Z,Inteligencia artificial,1585854175514
-M3wMyN9MV_Luxx7PgiK,Conocimiento,1585855696905
-M3wdRDfef_BI0ngSMUN,Ciencia de datos,1585860144803
-M40GnKqZDUDVKuHZeN1,Big data,1585937838939
-M4605TVwYB7Jqvyxfwz,Big data,1586034221182
-M466SEgzBKoYeP53Q5E,Ciencia de datos,1586035894052
-M468Wvd5zkbt3AURgKb,Conocimiento,1586036440030
-M46ULzYYzYfjd15rq9l,Big data,1586041511256
-M46fJznS6rvED7w4-Lv,Big data,1586045272618
-M46vWAtpLWpJxqgmHUK,Inteligencia artificial,1586049537479
-M46zXQYg6QKgZVX_pQv,Big data,1586050487079
-M4710w3FVeTgjdkpJPX,Big data,1586051211272
-M47ExPq-lbDnXrT8wtS,Big data,1586054854341
-M47M8rn69ZaP2OdOy7R,Big data,1586056711698
-M47Wjv9dk5p4e5a6Iq3,Big data,1586058411045
-M4822FBV7CV-ctwFc9e,Big data,1586068374246
-M48F9myllf8eLxd9vhd,Ciencia de datos,1586071634120
-M48eMhjGhzzi7kwa7vt,Conocimiento,1586078520117
-M48q9mNBBmUMXpAydKS,Big data,1586081670344
-M48qPT14N4x4tX0sMf7,Big data,1586081898864
-M49FZMqE4c4ar6M73lN,Inteligencia artificial,1586088553711
-M49ODP8JeUSoxrj0H5P,Conocimiento,1586090810046
-M49dkdAStWh38ATCF6I,Conocimiento,1586094872693
-M49rxxyhoW5xgdBNa0v,Inteligencia artificial,1586098808615
-M49y46ZZ2pm7i3UcNLu,Big data,1586100461523
-M4A03asbnw6nzk8I4vR,Big data,1586101217314
-M4ABIGu_-cRhOGJ3NxJ,Inteligencia artificial,1586104276081
-M4AJd3BtrZ3xduq4osn,Big data,1586106521013
-M4ASo2XPfFH2ttOIhnA,Inteligencia artificial,1586108438000
-M4AcPbQpTC-METSfP5k,Big data,1586111479974
-M4B6M8TEh_l-0P36sgI,Ciencia de datos,1586119720127
-M4BTG5Z_ix9QGfDEOxC,Inteligencia artificial,1586125101985
-M4Bn33SSZxOi5UBBGNl,Ciencia de datos,1586131133605
-M4C0ns9siZEVsz2qby0,Inteligencia artificial,1586135054159
-M4Cf3KvtccpvZrsub2l,Big data,1586145756040
-M4CoQCiGFJjbORvBsQH,Big data,1586148245519
-M4D0gborpciv21zSQQo,Inteligencia artificial,1586151772981
-M4D7ZoTDQIfkdz0QVA9,Inteligencia artificial,1586153622610
-M4DAhGEmv48KbDyaxvK,Ciencia de datos,1586154379370
-M4DTrFzmy3pxm-A7w_U,Big data,1586159355136
-M4Dmi9DXcdYNEvPds4F,Big data,1586164633611
-M4E07MEGVyMuAI6Ga6m,Big data,1586168391042
-M4E5_eoTkThnp-SsQPd,Ciencia de datos,1586169704396
-M4EYUy59HMuDYAVQiY6,Inteligencia artificial,1586177240561
-M4EyfqsuQyVAJ0-vi3k,Big data,1586184642819
-M4FCXhNtqZ5TQk3f0Hr,Big data,1586188373261
-M4FE_8DpDP33JDJhyFR,Big data,1586189036270
-M4FIRbfvTG9q013opag,Ciencia de datos,1586190159385
-M4FK5upcnrepWLENZcO,Inteligencia artificial,1586190406682
-M4FWk0swYA0cg7bjLpg,Conocimiento,1586193731632
-M4FePo9Z4Nueg3GuFdW,Conocimiento,1586196093990
-M4FgHjOrh1WWkiE4Jpq,Big data,1586196604786
-M4G0lbgtzXG3Ztts47C,Big data,1586153427433
-M4G4quSr9ib-mdfngz3,Big data,1586203162474
-M4GKqHNosx4NqQ_VwpH,Big data,1586207279287
-M4GrXMfSAzmuoaAbilF,Big data,1586216219951
-M4H4gQ9Gm8dOjOhULIZ,Conocimiento,1586219827514
-M4H5HYLoPzRRJxflHdw,Inteligencia artificial,1586220163485
-M4H9YevJdxGiEBB66V4,Big data,1586221123447
-M4HD5H2nIEZcw8TQkN_,Conocimiento,1586222229829
-M4HpW0_DE3Wt0F5vvoR,Big data,1586232375507
-M4I6KPtvqoTbgOf9Z_q,Inteligencia artificial,1586237216988
-M4ICY2XKcaD7MG1aOE7,Ciencia de datos,1586238798472
-M4IJ52d0a2XrIJcvxCW,Ciencia de datos,1586240356289
-M4IVr7D_FeJi_d7JSly,Conocimiento,1586243351847
-M4Jv7XQYFsQsjyUhQ4B,Conocimiento,1586267458985
-M4KIzz5gS5a9Llm36fN,Inteligencia artificial,1586274072964
-M4L_XzpNOuxu5-DO1NP,Inteligencia artificial,1586295547427
-M4LjKwWfkIxagNTZbwf,Ciencia de datos,1586297925930
-M4Lss3W7OI-gRAUdPgq,Big data,1586300277509
-M4MGcydm5tN5wYQ_m1j,Ciencia de datos,1586307005440
-M4MHrfa2YMotVOJuC1A,Big data,1586307222300
-M4MYAypjzK32kCQXPW5,Ciencia de datos,1586311072269
-M4MkyqckNdDW3sUYZbN,Inteligencia artificial,1586315270260
-M4NCeINm8i0fO1dJpbV,Big data,1586322705305
-M4PU7s6fDvmB0Njhlf3,Big data,1586360898665
-M4PXZotyOSfaWiyPCL3,Inteligencia artificial,1586361275686
-M4PY7FNI6mt51Ge-2aW,Conocimiento,1586361959211
-M4Pl8NbJGm90q9RP7_l,Inteligencia artificial,1586365615375
-M4Q-V4UIKaX5yHM4Rsg,Big data,1586369589299
-M4Q6TpnDmxgCSCoWP0G,Big data,1586371373769
-M4Q8Bl_ud6vYf339lER,Big data,1586371575905
-M4QYGVNDymcwvIy34kZ,Inteligencia artificial,1586378591004
-M4QshkOdvab21p23HF-,Big data,1586384203804
-M4QuCAcScC-9xZQIpvk,Inteligencia artificial,1586384512009
-M4Rk4cOQHm7b0PDarQ-,Big data,1586398921505
-M4Tqq6G2Skr1b4OIxTC,Conocimiento,1586434237067
-M4UJC5l12tA3E8TzHsO,Big data,1586441730707
-M4UPDevOA_BPqPUxjLy,Ciencia de datos,1586443554051
-M4Uabiv1313P9-nn070,Big data,1586446770394
-M4VqamiGawLCRXqbZfQ,Big data,1586467616855
-M4X1PJ5I-WZklAzj7B-,Big data,1586487571082
-M4XHRyShBOXFftOIuLh,Big data,1586491726547
-M4XVcatjvtyJgVlsPyB,Inteligencia artificial,1586490546749
-M4ZxrqG2qNNfSO7MmwO,Big data,1586536695074
-M4_2tM8u2-z4H6RbRIo,Ciencia de datos,1586538208018
-M4_aDG7_KQD2W0eXLAP,Big data,1586547262926
-M4_ydo_7cPCZukHzWO4,Big data,1586553731408
-M4_zs5FE37U3rhlgo-m,Big data,1586554045004
-M4a1JVfdap7afYm1Ag2,Big data,1586554449850
-M4a1dOFddKzsEuVDooS,Conocimiento,1586554813814
-M4a1nIE15MiuN4LbE0K,Inteligencia artificial,1586554443767
-M4aDKg_r4yUO_JBbmmE,Big data,1586557875795
-M4aHhBk8C92dEQocCWh,Big data,1586558753931
-M4aJjqh6zz6JaydL_q3,Conocimiento,1586559480476
-M4bx4C2q3rw8xwnE4qT,Conocimiento,1586586864653
-M4c2Qrtj5zPj18aOy4b,Inteligencia artificial,1586588444349
-M5-vc9hIvjPO6Ayx8gl,Ciencia de datos,1587005813338
-M50e6xxUJPXUJZX1G3w,Conocimiento,1587018038409
-M52mHmaCqOfYTvTVFnU,Big data,1587053805758
-M52xxqLcyL60fYcPE-P,Ciencia de datos,1587056715180
-M534Jolbydy8wzpvDVr,Big data,1587058638434
-M53AyAMgtBqT3jz2612,Inteligencia artificial,1587060401830
-M53sfA6QIfLGZkYvwVS,Conocimiento,1587072252953
